<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;20220412;000000;138.8400000;140.1000000;130.3500000;135.3800000;75342120
SBER;D;20220413;000000;136.7800000;138.1400000;132.7200000;135.5000000;38947640
SBER;D;20220414;000000;135.7000000;135.8900000;129.0500000;129.0500000;44206040
SBER;D;20220415;000000;128.5500000;131.7200000;125.1200000;130.8800000;46693490
SBER;D;20220418;000000;131.4500000;132.6800000;123.7000000;123.8500000;58331430
SBER;D;20220419;000000;123.8500000;123.8500000;115.3600000;120.3000000;79797640
SBER;D;20220420;000000;120.9000000;125.4400000;117.5100000;121.5000000;66509740
SBER;D;20220421;000000;121.9700000;123.0500000;117.8500000;118.6500000;40607300
SBER;D;20220422;000000;118.6900000;122.3200000;115.5500000;116.9700000;57392470
SBER;D;20220425;000000;115.9500000;116.4000000;111.5000000;111.9000000;45714280
SBER;D;20220426;000000;112.5800000;124.9200000;111.9000000;122.3600000;83480680
SBER;D;20220427;000000;123.0100000;131.7300000;120.6000000;131.1100000;115400220
SBER;D;20220428;000000;132.1400000;134.5000000;123.0500000;123.8500000;123344490
SBER;D;20220429;000000;123.6000000;130.0000000;122.8000000;128.8000000;87296290
SBER;D;20220504;000000;129.1000000;131.5000000;122.5000000;123.2000000;67177440
SBER;D;20220505;000000;124.2100000;125.5400000;122.7500000;124.8000000;42303350
SBER;D;20220506;000000;124.7400000;124.9900000;121.5200000;123.1000000;30558900
SBER;D;20220511;000000;123.0100000;126.0500000;121.8600000;123.3400000;32776680
SBER;D;20220512;000000;123.1000000;123.7400000;118.0500000;119.7500000;29928570
